rank,package,version,trustScore,confidence
248,@webassemblyjs/floating-point-hex-parser,1.14.1,83,95
249,@chakra-ui/menu,2.2.1,83,95
250,@chakra-ui/button,2.1.0,83,95
251,@chakra-ui/editable,3.1.0,83,95
252,@chakra-ui/slider,2.1.0,83,95
253,io-ts,2.2.22,83,95
254,reactstrap,9.2.3,83,95
255,css-loader,7.1.4,82.94,95
256,lit-element,4.2.2,82.93,95
257,@vue/cli-ui-addon-webpack,5.0.9,82.89,95
258,mobx-react-lite,4.1.1,82.88,95
259,q,1.5.1,82.87,95
260,serialize-javascript,7.0.7,82.85,95
261,jest-worker,30.4.1,82.83,95
262,@xstate/react,6.1.0,82.8,95
263,css-minimizer-webpack-plugin,8.0.0,82.74,95
264,swr,2.4.2,82.71,95
265,jasmine-core,6.3.0,82.68,95
266,@discoveryjs/json-ext,1.1.0,82.64,95
267,workbox-recipes,7.4.1,82.63,95
268,@emotion/hash,0.9.2,82.5,95
269,big.js,7.0.1,82.5,95
270,@emotion/weak-memoize,0.4.0,82.5,95
271,react-dev-utils,12.0.1,82.5,95
272,is-glob,4.0.3,82.5,95
273,title-case,4.3.2,82.5,95
274,@babel/traverse,8.0.4,82.48,95
275,monaco-editor-webpack-plugin,7.1.1,82.45,95
276,@opentelemetry/api,1.9.1,82.43,95
277,@wdio/types,9.29.1,82.4,95
278,@wdio/logger,9.29.1,82.4,95
279,acorn-node,2.0.1,82.4,95
280,lodash.isequal,4.5.0,82.39,95
281,@fluentui/react-window-provider,2.3.2,82.37,95
282,@babel/helper-builder-react-jsx-experimental,7.12.11,82.32,95
283,react-devtools-inline,7.0.1,82.31,95
284,@aws-sdk/util-user-agent-node,3.973.51,82.27,95
285,undici,8.9.0,82.27,95
286,@react-navigation/drawer,7.13.5,82.27,95
287,@tiptap/react,3.29.0,82.27,95
288,lodash.clonedeep,4.5.0,82.26,95
289,lodash.debounce,4.0.8,82.26,95
290,lodash.sortby,4.7.0,82.26,95
291,lodash.uniq,4.5.0,82.26,95
292,lodash.memoize,4.1.2,82.26,95
293,lodash.difference,4.5.0,82.26,95
294,lodash.map,4.6.0,82.26,95
295,lodash.some,4.6.0,82.26,95
296,lodash.reduce,4.6.0,82.26,95
297,lodash.groupby,4.6.0,82.26,95
298,lodash.has,4.5.2,82.26,95
299,lodash.reject,4.6.0,82.26,95
300,lodash.find,4.6.0,82.26,95
301,lodash.keys,4.2.0,82.26,95
302,@emotion/react,11.14.0,82.25,95
303,react-native-codegen,0.70.7,82.25,95
304,@aws-sdk/hash-stream-node,3.374.0,82.25,95
305,promise-retry,2.0.1,82.17,95
306,caniuse-lite,1.0.30001806,82.14,95
307,rxjs,7.8.2,82,95
308,@material-ui/utils,4.11.3,82,95
309,@material-ui/system,4.12.2,82,95
310,@material-ui/icons,4.11.3,82,95
311,browserify,17.0.1,82,95
312,react-virtualized,9.22.6,82,95
313,ts-invariant,0.10.3,82,95
314,@lit/reactive-element,2.1.2,81.93,95
315,@typescript/vfs,1.6.4,81.91,95
316,workbox-build,7.4.1,81.88,95
317,react-native-cli,2.0.1,81.87,95
318,@babel/plugin-transform-react-jsx-self,7.29.7,81.84,95
319,@babel/plugin-transform-react-jsx-source,7.29.7,81.84,95
320,body-parser,2.3.0,81.81,95
321,@material-ui/unstyled,5.0.0-alpha.15,81.78,95
322,react-dnd,16.0.1,81.75,95
323,@ethersproject/hdnode,5.8.0,81.75,95
324,@material-ui/styled-engine,5.0.0-alpha.11,81.75,95
325,react-redux,9.3.0,81.73,95
326,@docusaurus/utils,3.10.2,81.71,95
327,is-number,7.0.0,81.58,95
328,minipass-fetch,6.0.0,81.57,95
329,terser-webpack-plugin,5.6.1,81.56,95
330,react-tooltip,6.0.8,81.55,95
331,normalize-path,3.0.0,81.52,95
332,@graphql-codegen/cli,7.2.0,81.52,95
333,classnames,2.5.1,81.5,95
334,esbuild-linux-64,0.15.18,81.5,95
335,enquirer,2.4.1,81.5,95
336,esbuild-windows-64,0.15.18,81.5,95
337,esbuild-darwin-arm64,0.15.18,81.5,95
338,esbuild-windows-arm64,0.15.18,81.5,95
339,esbuild-linux-arm64,0.15.18,81.5,95
340,esbuild-darwin-64,0.15.18,81.5,95
341,esbuild-linux-arm,0.15.18,81.5,95
342,esbuild-windows-32,0.15.18,81.5,95
343,esbuild-sunos-64,0.15.18,81.5,95
344,esbuild-openbsd-64,0.15.18,81.5,95
345,esbuild-android-arm64,0.15.18,81.5,95
346,esbuild-netbsd-64,0.15.18,81.5,95
347,esbuild-linux-mips64le,0.15.18,81.5,95
348,esbuild-freebsd-64,0.15.18,81.5,95
349,esbuild-linux-ppc64le,0.15.18,81.5,95
350,esbuild-linux-32,0.15.18,81.5,95
351,esbuild-freebsd-arm64,0.15.18,81.5,95
352,esbuild-linux-s390x,0.15.18,81.5,95
353,get-stream,9.0.1,81.5,95
